Category,Article_url,Article,Clusters
business,https://abcnews.go.com/Business/wireStory/anticipation-building-boom-us-hiring-year-76818675,washington with hop rise powerful rebound hire year fridays job report march provide crucial insight whether rosy expectations may prove true the optimistic economists predict government report many 1 million job add march blister gain would help recover decent chunk 95 million job remain lose pandemic still increase might quite large overall economists survey data provider factset forecast increase 615000 after year epic job losses wave coronavirus infections small business closure numerous trend brighten outlook consumer confidence march since pandemic intensify americans increase spend latest stimulus check distribute more state cities ease restrictions restaurants bar indoor gather vaccinations increasingly administer although new confirm infections rise lower level recent weeks the 1400 check president joe bidens 19 trillion sharply increase consumer spend accord bank americas track debit credit card spend jump 23 third week march compare prepandemic level bank say be see powerful response stimulus payments consumer say michelle meyer economist bank america its hard keep economic strength lowerincome americans respond particular vigor spend among cardholders earn 50000 soar 69 compare prepandemic level more 127 million stimulus payments worth 325 billion distribute spend begin rise march stimulus check arrive viral case count tumble heights january americans increasingly will venture home travel eat out though yet prepandemic pace roughly 15 million people travel airports march 28 accord transportation service administration that roughly eight time figure year ago although still sharply 25 million day 2019 the transportation analytics firm inrix calculate daily car trip late last month many trip likely restaurants volume seat diners 25 prepandemic level average last week march accord opentable restaurant software provider thats 50 prepandemic traffic six weeks earlier the burgeon economic activity show sign translate job karen fichuk ceo randstad north america recruit firm say company seek fill 38 permanent job end last year demand workers particularly strong manufacture information technology logistics health care we definitely start see economic recovery reach turn point include hardest hit industries hospitality fichuk say we hardly keep up job list website indeedcom jump last week march available job 135 prepandemic level jed kolko indeeds chief economist say job post higherpaid sectors financial service technology accelerate past couple months that increase a sign longerterm economic confidence kolko say employers typically do not advertise position they are confident prospect growth sustainable robust job growth march however raise important question can continue pace besides 95 million fewer job exist us economy virus strike additional 2 million job would add past year normal circumstances that mean us economy still need roughly 115 million job regain something close full health louise sheiner senior fellow brook institution formerly economist federal reserve estimate hire could average 700000 1 million month rest year economy expand 65 pace feed many economists expect that would leave total job growth 2021 somewhere 7 million 10 million in part forecast base fact pandemic recession deeply hurt laborintensive part economy hotels restaurants health care entertainment industry a recovery sectors partial one would require significantly hire in addition sheiner say higher consumer spend fuel stimulus check pentup save drive job growth industries for now recent economic figure disappoint unseasonably cold weather damage storm texas southern state february sales retail store home construction demand large factory goods slip month yet bounceback severe weather may add hire gain march economists say construction company could example collectively cut 61000 job february but demand new home remain high analysts say think construction job snap back march,6
business,https://abcnews.go.com/Business/wireStory/asian-stocks-follow-wall-st-strong-japan-korea-76805915,bangkok asian share higher friday broad rally push sp 500 past 4000 point first time many market close good friday tokyo surge 1 seoul shanghai also gain various industries get lift president joe bidens massive infrastructural renewal initiative the sp 500 jump 12 techheavy nasdaq add 18 as enter q2 optimism abound unquestionably spring air macro focus squarely us biden administration infrastructure plan stephen innes axi say report hop rise recovery pandemic boost spend spur powerful rebound us hire year provide crucial insight whether rosy expectations may prove true tokyos nikkei 225 index gain 14 2982130 kospi south korea add 06 310345 the shanghai composite index pick 04 348139 stereo maker onkyo home entertainments share plunge nearly 29 fall 68 thursday company due delist tokyo report negative net worth two straight years the company far fail raise enough fund cover debt forecast net loss 59 billion yen 536 million fiscal year end march 31 on thursday tech company rally push sp 500 12 401987 first close 4000 mark the dow jones industrial average gain 05 3315321 the technologyheavy nasdaq climb 18 1348011 smaller company stand benefit quickly grow economy continue notch solid gain the russell 2000 index pick 15 225390 microsoft apple facebook google parent company also among winners health care household goods stock utilities laggards technology stock benefit another drop bond yield drive force market several weeks the yield 10year us treasury note fell 167 173 day before higher bond yield make stock seem expensive comparison tech stock among expensive significant rise last year the rally cap holidayshortened week stock market us stock exchange close observance good friday though bond trade open half day close noon eastern time company would benefit greater sales electric vehicles also rise thursday day president joe biden outline various measure support part part plan include installation thousands additional charge station around country electric vehicle charger operator chargepoint gain 118 consumer sentiment improve along construction spend accelerate rollout vaccines investors shift money company sectors benefit people get back semblance prepandemic normal airlines make gain year people bet bud recovery travel industry still face turbulence ahead discount carrier underwhelmed first day public trade the denverbased airline open 1861 low end 19 21 price target close 1885 the labor department say number americans last week rise 719000 last week 658000 previous week that figure expect decline,6
business,https://abcnews.go.com/Business/wireStory/explainer-rebels-northern-mozambique-76830097,johannesburg with week fierce fight include behead body streets battle northern mozambique town palma highlight southern africa countrys insurgency threats multibilliondollar investments heres look know rebel group challenge face mozambique who be the rebel they are mostly unemployed young muslim men cabo delgado northernmost province countrys long indian ocean coastline for centuries people muslims trade swahili dhow sailors coexist catholicism bring portuguese colonial rulers despite rich natural resources province mozambiques least develop low level education service nutrition in recent years unemployed youths study abroad scholarships muslim organizations locals say many return preach radical form islam in 2017 violence erupt government target small band often use machetes kill police officials the rebel grow several hundred motorcycle wellarmed automatic weapons mortar military experts say many weapons come abroad what be they call they know locally alshabab arabic youth seem handy nickname do not know affiliation somalias jihadi rebel name for years insurgents did not appear link group 2019 islamic state group begin claim responsibility attack call islamic state central african province be also post photos videos militants often stand group black flag a video post week show dress mix camouflage black shirt red scarves speak swahili arabic be they gain grind the number attack since 2017 rise 838 500 past year accord arm conflict location event data project more 2600 people kill the humanitarian crisis also dramatically increase 90000 displace start 2020 670000 now accord un organizations more 900000 people area need food aid accord world food program after years hitandrun attack rebel capture port town mocimboa da praia august hold since then they have attack smaller towns surround area in massacre behead 50 people soccer pitch accord report confirm catholic bishop pemba provincial capital hundreds thousands flee the rebel target government offices kill local officials rob bank how be the government respond president filipe nyusis government maputo southernmost part mozambique launch counterterrorism offensive national police military it also use private military organization base south africa dyck advisory group send helicopter gunships aircraft find attack rebel because rebel often mingle civilians military action difficult atrocities commit side rebel government force mercenaries accord march 2 report amnesty international the government dyck group deny charge say investigate them be mozambique get help the unite state last month declare mozambiques rebel terror organization send special operations force officer carry twomonth train mozambiques marines portugal say send 60 officer provide train say european union consider military support mozambique member 16nation southern african development community closely watch instability the group meet rebel mozambique has not yet request direct military help neighbor countries include south africa zimbabwe what be the economic impact rebel violence cause suspension work french oil gas firm total january on march 24 total say security improve enough allow resume within hours rebel attack palma total evacuate workers fortify construction site experts say long time stability sufficiently restore total get back work the huge deposit natural gas report among worlds largest government hop project would bring muchneeded economic growth exxon also plan investment appear hold the whole gas gamble bet promise security nyusi mozambique lose bet write academic joseph hanlon newsletter mozambique news report clippings what be the outlook for mozambique and africa the rebel grow size organization once view ragtag bunch dissatisfy youths attack strategic spread reach large part northern cabo delgado military experts say restore stability long violent challenge process a longrange solution would improve local governments provide better service live condition accord analysts military experts but difficult rebel already entrench africas arc extremism sahel region west africa nigerias boko haram insurgency central africa alshababs entrench conflict somalia east africa new foothold southern africa mozambique hard dislodge,6
business,https://abcnews.go.com/Business/wireStory/italy-easter-lockdown-partys-sea-76829872,aboard the msc grandiosa italy may strict lockdown easter travel restrict regions new quarantine impose but miles offshore guests aboard msc grandiosa cruise ship shimmy latin music deck sip cocktails pool in anomalies lockdowns shutter hotels resort around world grandiosa ply mediterranean sea winter sevennight cruise lonely flagbearer global cruise industry after cruise ship early source highlypublicized coronavirus outbreaks grandiosa try chart course pandemic strict antivirus protocols approve italian authorities seek create health bubble board passengers crew test cruise mask mandate temperature check contacttracing wristbands frequent clean ship design prevent outbreaks passengers outside italy must arrive negative covid19 test take within 48 hours departures residents europes schengen countries plus romania croatia bulgaria permit book covid19 insurance policies on wednesday grandiosa leave italian port civitavecchia weeklong easter cruise 2000 6000passenger capacity stop plan naples valletta malta return home port genoa passengers welcome semblance normalcy bring freedom eat restaurant sit poolside without mask virus still present concern after year restrictive measure think could break week relax say stefania battistoni 39yearold teacher single mother drive night bolzano northern italy two sons mother board cruise the pandemic plunge global cruise ship passenger number record 30 million 2019 350000 since july 2020 accord cruise line international worlds largest cruise industry association represent 95 oceangoing cruise capacity currently fewer 20 ship operate globally small fraction clias members fleet 270 ship the unite state could among last cruise ship market reopen possibly fall 2022 alaska two royal caribbean cruise line normally sail miami opt instead launch sail june caribbean governments eager revive tourismbased economies msc spokeswoman lucy ellis say positive virus case crop board msc ship particularly fall surge the important thing never outbreak say the grandiosa equip medical center molecular antigen test facilities well ventilator extra cabin set aside isolate suspect virus case because contact trace wrist band passenger test positive medical personnel identify anyone contact once situation clear anyone positive transfer shore accord independent consult firm bermello ajamii partner 23 covid19 case confirm ship since industry begin tentative relaunch last summer passenger infection rate 0006 but cruise industry critics say risk isnt worth add cruise company take pandemic timeout address industrys longstanding environmental labor problems all large cruise ship burn huge volumes dirtiest cheapest fuel available say jim ace environmental group stand earth member global cruise activist network cruise ship company could use covid shutdown address impact public health environment instead scrap oldest ship raise cash stay alive on board though passengers relish chance enjoy activities mostly close italy much europe year theater restaurant din dutyfree shop live music bar the rest italy head back full lockdown easter weekend shop close restaurants bar open takeout try minimize holiday outbreaks in addition italys government impose fiveday quarantine people enter eu countries bid deter easter getaways let say long time restrictions closure choice do mental health say federico marzocchi join cruise wife 10yearold son matteo the cruise industry hop gradual open spring cruise circulate spains canary islands atlantic ocean coast africa include company aida cater german tourists costa cruise msc europes largest cruise company resume cruise may 1 sevennight italyonly cruise costa plan begin sail western mediterranean midjune britain open cruise ship may msc viking launch cruise british isles among several company offer atsea staycation cruise aim capture important cruise market the cruise industry hop greece open midmay country has not yet announce reopen tourism the us center disease control prevention issue framework resume cruise us industry say health agency has not spell detail company need operate ship once cdc provide technical requirements industry officials say take 90 days prepare ship sail the cruise company complain last fall cdc framework outdated scrap they say issue vaccines available restart cruise europe say safely carry nearly 400000 passengers new covid19 protocols and complain cruise part us economy remain shutter pandemic the cruise line international association trade group lobby early july start us cruise cruisers love cruise go ship sail say laziza lambert spokeswoman trade group the longer cruise singularly prohibit operate unite state place world benefit positive economic impact generate influx passengers ap reporters colleen barry soave italy nicole winfield rome david koenig dallas contribute report follow aps pandemic coverage at,6
business,https://abcnews.go.com/Business/ford-announces-carbon-neutral-targets/story?id=76796290,ford announce two new al sustainability target part goal become carbon neutral 2050 line paris climate agreement the target part automakers firstever combine sustainability financial report the integrate report underscore achieve goals environment cynthia williams global director sustainability homologation compliance ford motor company tell abc radio its also social matter governance its vital success behalf key stakeholders move forward i think combine key success ford in june 2020 ford announce plan go carbon neutral mean number emissions release company reduce offset renewable energy carbon sequestration carbon credit ford plan reduce scope 1 scope 2 emissions operations 76 base 2017 emissions scope 3 emissions company products 50 base 2019 emissions 2035 scope 1 emissions include emissions directly control ford like build company vehicles scope 2 emissions indirect emissions electricity use power offices manufacture build scope 3 emissions supply chain the scope 1 2 target align paris climate agreement weve always ground science we have commit climate change develop carbonneutral strategy part we have do continue align paris agreement say williams the two new target endorse sciencebased target initiative collaboration un agencies businesses industry leaders help company set emission reduction target ford say want focus three main areas reduce emissions car production company facilities suppliers the company plan invest 22 billion electric vehicles 2025 that include electrify popular cars expand ev plan part solution become carbon neutral 2050 its key i think double investment ev electric vehicle technology infrastructure example we are make sure stay path get carbon neutrality say williams to reduce global emissions ford facilities company set goal 100 locally source renewable energy 2035 ford say michigan assembly plant dearborn wayne along research engineer corktown campuses meet goal january 2022 to reduce emissions suppliers ford say plan work suppliers understand collective environmental footprint help select suppliers reduce emissions use partnership a cleaner environment program continue collaborate partner automotive industry lower supplier emissions but williams say ford know cannot achieve goals alone we need partnerships suppliers publicprivate partner utilities like make sure realize goals say williams,6
business,https://abcnews.go.com/Business/wireStory/dutch-coalition-building-reboot-rutte-rebuke-76831329,the hague netherlands dutch prime minister mark rutte need political reboot two weeks major victory new question trustworthiness undermine process form new coalition government rutte power decade seek build fourth govern coalition narrowly survive noconfidence motion early hours morning marathon debate parliament claim remember talk critical christian democrat lawmaker rutte last week publicly deny discuss lawmaker all opposition lawmakers accuse prime minister lie wreck public trust countrys politicians rutte deny lie vow work hard rebuild trust he plan continue look form new coalition could prove difficult two key party would seek enlist table motion censure support large majority 150seat lower house parliament i get message take heart say rutte sometimes call teflon premier ability avoid scandals stick him it stun fall grace rutte come two weeks conservative party seat parliament put line become countrys longestserving prime minister create new coalition if want achieve feat mend bridge first my trust mr rutte seriously dent today sigrid kaag leader centrist d66 party tell parliament early hours friday the distance wider i regret that d66 finish second elections current member ruttes coalition the countrys christian democrats party favor coalition partner rutte cosponsor censure motion leave open possibility work together it crucial restore trust christian democrat leader wopke hoekstra say lawmakers expect install new official restart coalition talk expect months the coalition crisis come backdrop rise number infections despite lockdown last months more 16700 people confirm die covid19 country ruttes government face harsh criticism slow start vaccination campaign central crisis christian democrat lawmaker pieter omtzigt long thorn side rutte critical question scandals dog prime minister recent years lawmakers accuse rutte seek sideline omtzigt preliminary coalition talk two officials lead talk photograph carry note include legible line position omtzigt function elsewhere after note photograph rutte tell reporters had not discuss omtzigt coalition talk but do accord note make civil servants publish debate start thursday rutte say debate did not remember part discussion answer reporters question in good conscience i stand lie i tell truth rutte say rutte apologize omtzigt pledge where trust violate i work hard restore it omtzigt was not present debate he take time off cite exhaustion kaag say see pattern forgetfulness amnesia rutte decade office how you greatest crisis face netherlands restore trust damage kaag ask,6
business,https://abcnews.go.com/Business/wireStory/eu-nations-struggle-full-show-vaccination-solidarity-76830165,brussels the european union struggle show complete vaccination solidarity among member nations week negotiations distribution extra dose expose fissure friday five eu nations struggle get vaccination drive go give extra dose alliance 19 countries three nations were not part deal however show difficulties compromise politics covid19 case surge again at eu summit last week austrian chancellor sebastian kurz criticize allocation shots 27nation bloc say countries receive fair share cost others eu leaders fail agree correction mechanism leave eu ambassadors late thursday deal reach distribute early batch 10 million pfizerbiontech dose bulgaria croatia estonia latvia slovakia receive proportionally large number dose austria along czech republic slovenia did not get additional shots we grateful remarkable efforts solidarity fellow eu member state latvian prime minister krišjānis kariņš say he say extra shots will bring us closer common goal collective immunity across eu under joint procurement program set european commission dose allocate pro rata basis nations take less share a large majority eu members think system work well say nations make mistake focus astrazeneca shots instead diversify vaccine portfolios astrazeneca shots cheaper easier handle pfizerbiontech moderna overall eu continue lag well behind nations like unite kingdom unite state come vaccinations follow aps pandemic coverage at,6
business,https://abcnews.go.com/Business/wireStory/tesla-1q-sales-185k-double-years-numbers-76833499,detroit tesla say deliver nearly 185000 electric vehicles first quarter despite shortage computer chip hit global auto industry the number double deliveries period last year and beat wall street estimate 168000 january march the company say statement model y small suv china well receive tesla list production figure older model s sedan x suv quarter deliver 2000 them it say new equipment instal fremont california factory production new versions early stag the strong sales sign demand company relatively expensive vehicles remain strong despite pandemic analysts poll data provider factset estimate average sell price tesla 49100 share tesla inc 9 far year shine wear electric vehicle tech stock experience big runup last year the stock close thursday 1 66175 market close good friday holiday tesla sell 500000 vehicles last year barely miss target set ceo the company hasnt give much guidance years sales figure wedbush analyst dan ives call firstquarter number jaw dropper huge home run eye bullish investors we believe china europe particularly robust quarter trajectory put musk co exceed 850k year well ahead whisper expectations write friday the model 3 small car model y account nearly palo alto california company firstquarter sales tesla say sell 182780 model combine ives write analysts expect 12000 sales model s x miss drive chip shortage the strong sales come though company shut much fremont production several weeks late february early march it say why its likely company run short computer chip president joe bidens announcement week 174 billion spend electric vehicle incentives charge station rise global demand electric vehicles shift sentiment toward tesla stock ives write its brutal selloff tesla evs believe rearview mirror write,6
business,https://abcnews.go.com/Business/wireStory/russian-entrepreneurs-adapt-virus-lockdown-challenges-76830237,moscow valentina konstantinova remember well russia lock year ago her 18room boutique hotel call skazka fairytale full within couple days guest leave i still dont understand people could vanish day where recall the lockdown last six weeks border close business prospect grim one year later skazka still open thank creative think owners fewer guests before russia never fully lock last spring result economy businesses did not suffer much countries pandemic but also see mortality rat rise when infections surge fall government resist impose restrictions would shut many businesses have another lockdown wed close already konstantinova say a sixweek lockdown still damage weaken economy compound russians frustrations decline incomes worsen live condition president vladimir putins approval rat fell 69 february 2020 historic low 59 two months later rebound accord levada center russias top independent pollster for rest 2020 industries enterprises mostly stay open during virus resurgence fall regions impose restrictions limit hours capacity bar restaurants businesses rarely close altogether accord organization economic cooperation development russias gross domestic product fell 36 little global average 34 by comparison gdp uk shrink 99 france 82 germany 53 canada 54 still russias biggest plunge since 2009 in recent years gdp grow 12 per year at time russia saw significant increase mortality say sergei guriev economics professor sciences po institute political study paris the number overall deaths 2020 grow nearly 324000 compare previous year accord statistical agency rosstat the country record 97000 deaths covid19 accord johns hopkins university although experts say actual number probably higher rosstat say 200000 people virus die april 2020 january 2021 these losses could obviously avoid price russian economy shut russian gdp shrink 3 guriev say online sales good year ozon major russian ecommerce platform similar amazon saw sales jump almost 25 time last year company communications director maria zaikina say but without second lockdown small mediumsized businesses need creative ways stay afloat government support mostly limit tax deferrals cheap hardtoget loan relatively small direct subsidies many are not earn pandemic a survey 5000 enterprises find third still see decline revenue start 2021 the survey conduct russias business ombudsman boris titov cite news outlet rbc last month say 27 report revenue level last year nearly 10 look close only 19 say slowly start recover nearly 60 company ask point stilldepressed demand products service biggest difficulties face russians incomes fell 35 last year guriev say note moscow spend much less support businesses consumers countries governments take unprecedentedly generous measure that could government sovereign wealth fund worth 165 billion april 2020 reluctant open state coffers last spring oil price plunge during first lockdown konstantinova still want make hotel locate museum entertainment complex build style mimic 17thcentury russian architecture work ngos aid group offer free room victims domestic violence refugees doctor foreigners get stick russia with tourists unlikely return anytime soon konstantinova look ways transform hotel some nonpaying guests originally india decide tap expertise add restaurant serve authentic indian cuisine the project take off business break even profit question point course early repayment loan say but fact be work breakeven level important it mean market recover business likely earn profit artyom borovoy cofounder company build stand exhibitions similar situation when convention business grind halt borovoys company stenddo start make fold desks work home idea say come zoom discussions friends out desperation simple inexpensive plywood desks fold like easel use either sit stand prove popular work remotely tiny apartments borovoy sell 2100 last year admit new project make enough cover cost in term profit isnt yet say both borovoy konstantinova say did not get significant government support aside tax deferrals amid restrictions businesses turn act defiance preserve income in st petersburg tough restrictions impose virus surge new years holiday december january backlash restaurant bar owners order shut dec 31 jan 3 require close 7 pm week that dozens owners join call map resistance shortlived website list bar restaurants refuse obey restrictions how else suppose survive say mikhail kavin manager commode bar citys famed nevsky prospekt feature room name different cultural figure gershwin brando rockefeller lebowski people need able eat work the authorities unwilling enter dialogue they provide support neither employees business owners say note join map resistance be way hear police raid commode early december serve customers behind close doors past 11 pm security video show dozen officer balaclavas break door later walk amid patrons apparently make lie floor beat batons authorities eventually ease restrictions cafes restaurants bar still ban operate dec 31 jan 3 unless winter terrace serve customers outside could open 6 be 11 pm week that commode operate holiday despite restrictions flout rule has not bounce back prepandemic level sales kavin say maybe months weeks exception rule its long long way go full recovery add daniel kozin report moscow st petersburg follow aps pandemic coverage at,6
business,https://abcnews.go.com/Business/wireStory/italy-easter-lockdown-partys-sea-76829873,aboard the msc grandiosa italy may strict lockdown easter travel restrict regions new quarantine impose but miles offshore guests aboard msc grandiosa cruise ship shimmy latin music deck sip cocktails pool in anomalies lockdowns shutter hotels resort around world grandiosa ply mediterranean sea winter sevennight cruise lonely flagbearer global cruise industry after cruise ship early source highly publicize coronavirus outbreaks grandiosa try chart course pandemic strict antivirus protocols approve italian authorities seek create health bubble board passengers crew test cruise mask mandate temperature check contacttracing wristbands frequent clean ship design prevent outbreaks passengers outside italy must arrive negative covid19 test take within 48 hours departures residents europes schengen countries plus romania croatia bulgaria permit book covid19 insurance policies on wednesday grandiosa leave italian port civitavecchia weeklong easter cruise 2000 6000passenger capacity stop plan naples valletta malta return home port genoa passengers welcome semblance normalcy bring freedom eat restaurant sit poolside without mask virus still present concern after year restrictive measure think could break week relax say stefania battistoni 39yearold teacher single mother drive night bolzano northern italy two sons mother board cruise the pandemic plunge global cruise ship passenger number record 30 million 2019 350000 since july 2020 accord cruise line international worlds largest cruise industry association represent 95 oceangoing cruise capacity currently fewer 20 ship operate globally small fraction clias members fleet 270 ship the unite state could among last cruise ship market reopen possibly fall 2022 alaska two royal caribbean cruise line normally sail miami opt instead launch sail june caribbean governments eager revive tourismbased economies msc spokeswoman lucy ellis say positive virus case crop board msc ship particularly fall surge the important thing never outbreak say the grandiosa equip medical center molecular antigen test facilities well ventilator extra cabin set aside isolate suspect virus case because contact trace wrist band passenger test positive medical personnel identify anyone contact once situation clear anyone positive transfer shore accord independent consult firm bermello ajamii partner 23 covid19 case confirm ship since industry begin tentative relaunch last summer passenger infection rate 0006 but cruise industry critics say risk isnt worth add cruise company take pandemic timeout address industrys longstanding environmental labor problems all large cruise ship burn huge volumes dirtiest cheapest fuel available say jim ace environmental group stand earth member global cruise activist network cruise ship company could use covid shutdown address impact public health environment instead scrap oldest ship raise cash stay alive on board though passengers relish chance enjoy activities mostly close italy much europe year theater restaurant din dutyfree shop live music bar the rest italy head back full lockdown easter weekend shop close restaurants bar open takeout try minimize holiday outbreaks in addition italys government impose fiveday quarantine people enter eu countries bid deter easter getaways let say long time restrictions closure choice do mental health say federico marzocchi join cruise wife 10yearold son matteo the cruise industry hop gradual open spring cruise circulate spains canary islands atlantic ocean coast africa include company aida cater german tourists costa cruise msc europes largest cruise company resume cruise may 1 sevennight italyonly cruise costa plan begin sail western mediterranean midjune britain open cruise ship may msc viking launch cruise british isles among several company offer atsea staycation cruise aim capture important cruise market the cruise industry hop greece open midmay country has not yet announce reopen tourism the us center disease control prevention issue framework resume cruise us industry say health agency has not spell detail company need operate ship once cdc provide technical requirements industry officials say take 90 days prepare ship sail the cruise company complain last fall cdc framework outdated scrap they say issue vaccines available restart cruise europe say safely carry nearly 400000 passengers new covid19 protocols and complain cruise part us economy remain shutter pandemic the cruise line international association trade group lobby early july start us cruise cruisers love cruise go ship sail say laziza lambert spokeswoman trade group the longer cruise singularly prohibit operate unite state place world benefit positive economic impact generate influx passengers ap reporters colleen barry soave italy nicole winfield rome david koenig dallas contribute report follow aps pandemic coverage at,6
business,https://abcnews.go.com/Business/wireStory/uk-bans-travel-nations-virus-39-76833908,london the british government gear ban international arrivals four countries bangladesh kenya pakistan philippines amid concern new virus variants opt include european nations face resurgence virus the department transport say friday number countries red list reach 39 latest restrictions effect england begin april 9 the nations uk scotland wales northern ireland similar list under travel ban international visitors depart travel redlist countries precede 10 days refuse entry england countries list include brazil south africa two concern virus variants identify british irish citizens people residence right uk enter commercial flight ban however must quarantine governmentapproved hotel 10 days expense must covid19 test days two eight selfisolation the measure aim reduce risk pose new virus variants uk record europes highest covidrelated death toll 126500 deaths no european nations british red list though much europe witness resurgence virus prompt many countries reimpose lockdown restrictions health experts say surge drive virus variants include first identify britain sweep continent the world health organization thursday bemoan slow pace vaccinations european nations britain say lose race protect people prime minister boris johnsons conservative government face question recent days france suffer worst outbreaks europe list yet put france red list could serious implications trade flow uk give reliance traffic crosschannel port the uk transport department say majority case south african variant detect england far link international travel think come europe the uk see new coronavirus infections deaths fall sharply since winter amid strict 3month lockdown rapid rollout coronavirus vaccines the uk give first vaccine shoot 31 million people around 46 population much higher rate rest europe this week restrictions gather england relax follow big drop new case daily rate around 70000 earlier year the uk friday record 3402 new infections lowest level since midseptember the main ease week allow group six people two households meet outdoors johnson friday urge people follow rule mix indoors easter weekend people receive vaccine shoot even though friends family members may vaccinate vaccines give 100 protection thats need cautious say question answer session twitter we dont think entirely reduce remove risk transmission follow aps pandemic coverage,6
business,https://abcnews.go.com/Business/wireStory/russia-fines-twitter-taking-calls-protest-76834925,moscow a court moscow friday fin twitter take call encourage minors part unauthorized rally latest series move social media giant use amplify dissent russia the court find twitter guilty three count violate regulations restrict unlawful content order company pay three fin add 89 million rubles about 117000 the rule come two weeks russias state communications watchdog roskomnadzor threaten block twitter within 30 days does not step remove ban content roskomnadzor last month accuse twitter fail remove content encourage suicide among children well information drug child pornography the agency announce march 10 slow speed upload photos videos platform that twitter response emphasize policy zero tolerance child sexual exploitation promotion suicide drug sales less week later deputy chief roskomnadzor vadim subbotin argue twitter still wasnt comply demand russian authorities add if things go like this month block russian authorities earlier year criticize social media platforms bring tens thousands people streets across russia january demand release jail russian opposition leader alexei navalny president vladimir putins wellknown critic the wave demonstrations largest years pose major challenge kremlin the authorities allege social media platforms fail remove call children join protest putin urge police act monitor social platforms track draw children illegal unsanctioned street action twitter friday offer comment moscow court rule the russian governments efforts tighten control internet social media date back 2012 law allow authorities blacklist block certain online content adopt since then grow number restrictions target message apps websites social media platforms introduce russia the government repeatedly air threats block facebook twitter stop short outright ban probably fear move would elicit much public outrage only social network linkedin wasnt popular russia ban authorities failure store user data russia however experts say russian authorities might seriously consider possibility ban time around associate press writer kelvin chan london contribute report,6
business,https://abcnews.go.com/Business/unemployment-rate-falls-march-employers-add-916000-jobs/story?id=76788420,the us unemployment rate last month slip 6 916000 job add economy department labor say friday fridays job report come amid glimmer hope end pandemic within sight across country vaccine access the economy however still bear deep scar health crisis before covid19 shock economy unemployment rate us historic low 35 president joe biden react report beat analysts expectations press brief this morning weve learn economy create 900000 job march that mean first two months administration see new job create first two months administration history biden say but still long way go get economy back track worst economic job crisis nearly century the president tout american rescue plan contribute robust job gain last month he also discuss accelerate us vaccination program call the envy world biden also urge congress action pass the president call roughly 2 trillion plan modernize roads bridge broadband access once generation investment economic future despite positive job gain biden say fridays report also remind us deep hole start in note still 84 million fewer job economy today march 2020 in report department labor credit improvements labor market continue resumption economic activity curtail due covid19 pandemic job growth widespread march lead gain leisure hospitality public private education construction dol add the leisure hospitality industry add 280000 job last month nearly twothirds food service drink place which saw uptick 176000 job employment public private education also rise last month uptick 76000 local government education rise 50000 state government education increase 64000 job private education construction meanwhile add 110000 job last month robust job gain leisure hospitality sector a good indication employers sector start feel optimistic least medium short term future nick bunker director economic research hire site indeed tell abc news ahead fridays report gain good see indication theres optimism there also kinds job hit hardest add employment leisure hospitality still 31 million job 185 compare february 2020 bls say break racial group unemployment rate white workers last month 54 versus 96 black workers 79 hispanic workers 6 asian workers the impact pandemic fallout labor market disproportionately bear workers color women women color particular important we are see job gain particularly people hit hardest bunker say fridays betterthanexpected job report offer economists optimism pace recovery springtime economic recovery todays job report show economy grow fastest pace since september daniel zhao senior economist glassdoor say commentary friday morning march job report optimistic report since pandemic begin while pandemic yet finish line appear close economy surge forward last sprint toward full reopen zhao add if momentum continue may look bright summer monthly gain million job get us much closer prepandemic employment,0
